text,text_english
rk jabarbranis jakartabrterus koalisi bangun kotabrtidak mau,rk jabarbranis jakartabrterus coalition build citybrdon't want to
href korup seperti orang sudah mapan,href corrupt like a well-established person
jos kang emil,great bro emil
panji diskak mati rk,rk's diskaked banner
undang pak ahok ken dngr klu wawancara sama kak panji gana,Invite Mr. Ahok to come over for an interview with Mr. Panji Gana
lgipolitik sistem demokrasi yang biasa cipta dinastibrkrn demokrasi bicara ttg hakbrkita gak bsa larang siapa mengunakan hak politik orang lama kualifikasi syarat terpenuhiistrianakponakancucu boleh ikut kontestasi kuasa,lgipolitics is a democratic system that usually creates dynasties because democracy talks about rights. We cannot prohibit anyone from using political rights. Old people who meet the qualification requirements are allowed to take part in the contest for power.
panji gak lihat realitas faktual kata rkbrmasyarakat indonesia memang gak pernah serius hal berpolitikbrpanji klo mau idealisme jalanmulai skrng pikir gimana cara cerdas masyarakat biar masyarakat pinter berpolitikbrcaranya mulai standup komedi dng tema politik panggung desajng stand up luar negeri dng orientasi cuan melulubrsebulan skli road trip desa stand up politik sama temen,"Panji doesn't see the factual reality, said RKB. Indonesian society has never been serious about politics. Panji, if you want idealism, start thinking about how to make society smart so that society is smart in politics. The way to do it is by starting stand-up comedy with a political theme, village stage, overseas stand-up with an orientation towards making money. A month of village road trips, political stand-up with friends"
si panjul sakit hati sama pemerintahbloon loe jul,"Si Panjul is hurt by your government, Bloon Jul"
lah panjul apa diamasih bocil pernah jadi pimpin politik,"Panjul, whether he is still a child, has ever been a political leader"
ndk mutu podcast ni kq mw orang like nya,The quality of this podcast doesn't matter if people like it
simpel siapa jabat kalau bukti langgar iya protes kalau baik iya dukung pandang saya rakyat kecil,simple who holds the position if there is evidence of violation yes protest if it is good yes support my view the common people
bang pandji pengkritiknyakaesang pelakunyadan menang laku,bang pandji the critic kaesang the perpetrator and won the sale
saya kurang suka rk guna apbd t bangun mesjid terlalu mewah banyak pungli,"I don't like the use of the regional budget to build a mosque that is too luxurious, there are lots of extortions"
memang praktek dinasti jadi negara dunia tapi bukan arti hal jadi lalu jadi pembenaranbrbrkarena adalah politik kuasa bukan demokrasi,"Indeed, the practice of dynasties has become a world state, but that does not mean that things are done and then become justification, because it is power politics, not democracy."
mohon maaf bukan masalah mapan sadar nafsu dunia tak puasa analogi minum air garam makin minum makin haus jadi buat orang korup adalah sadar bukan mapan,"I'm sorry, it's not a matter of being established, being aware of worldly desires, not fasting, the analogy is drinking salt water, the more you drink, the thirstier you become, so for corrupt people it's about being aware, not established."
age of empire,age of empire
kadang orang suka percaya caci adalah orang jelek hatikalau baik hati iya masuk aja arena jadi di nilai banyak ngomong pinter beneransatu pasti ajar buat anak ajamemang ayah pinter cuma iri dengkikarena anak jawab sosmed,"Sometimes people like to believe that insulting people are bad at heart, if they are good at heart, just enter the arena so they will be judged by talking about being truly intelligent and definitely teaching their children. Indeed, fathers are smart, they are just jealous because their children respond to social media."
walaupun beda pandang politik rk perlu aku rk pikir hebat,"Even though you have different political views, I think you're great"
jawab narasi kang ridwan sampai tadi harap kang pandji lebih quotjauhquot gali daging substansi soal politik namun paham kang pandji sedikit banyak wakil tanya umum publik lebih brbrdiskusi perlu lanjut,"answer kang ridwan's narrative until now, I hope kang pandji will go deeper into the meat of the substance of the political issue, but kang pandji understands that more or less the public's general question is needed for further discussion."
kembali tahun jakarta jadi salah satu kota jawa barat biar apa biar milih komeng uhuy,back in the year jakarta became one of the cities in west java so what so choose comment uhuy
in my opinion respect rk waktu tagline bandung juara stlah maju gubernur pudar janji bandung juara banyak realisasi telah nyemplung kuasa lihat banyak mnutup mata realita ada contoh ketika mk rubah atur cara alam rk lebih layak banding gibran mau jadi kacung samsul,"in my opinion respect rk when the tagline bandung champions have moved forward, the governor has faded, the promise of bandung champions has many realizations, the power to see, many people close their eyes, reality, there is an example when MK changed the way of nature, rk is more worthy of Gibran's appeal, he wants to be Samsul's lackey"
hr ini satu politis msh hidup saya idola sehat terus kang,"Today, one politician is still alive, my idol, stay healthy, bro"
bang pandji harus mention korupsi ada kota bandung mumpung hadap sama mantan walikota bandung walikota dan rk alm mang oded semua babat kpk dengan tingkat sekda bandung sekarang autopilot punya leader wkwkwkwk,"Bang Pandji must mention corruption in the city of Bandung while facing the former mayor of Bandung, the mayor and the late RK Mang Oded, all of them have wiped out the KPK at the level of the Bandung regional secretary, now on autopilot, they have a leader, hahahahaha"
rk terlalu banyak gimmick lebih cocok jadi selebgram jabar banyak jalan rusak orang miskin anggur,rk too many gimmicks more suitable to be a celebgram jabar many damaged roads poor people wine
sangat beda apa jadi pola pikir rk sekarang ketika pertama kali nyalon wali kota pilih mana rakyat cerdas kalah rakyat tetap bodoh menang,"Very different, what is RK's mindset now when he first ran for mayor? Which one do you choose? Smart people lose, stupid people win?"
dukung pdip wajib pilih kotak kosong pda pilkada jakarta,Support PDIP to vote for empty box in Jakarta gubernatorial election
mantap pak rk,great sir rk
sisi lainbrbrsaya tahu ras sunda suka menjatuhkanmelawan saing politik emang lembut orang sunda pantas orang sunda tidak cocok rakyat indonesiq umum keras orang batak tidak suka banyak rakyat indonesia jawa sampai sekarang pimpin indonesia bisa laku dua,"other sidebrbrI know the Sundanese race likes to bring down political competition, Sundanese people are indeed soft, Sundanese people deserve it, Sundanese people are not suitable, Indonesian people are generally tough, Batak people don't like many Indonesian people, Javanese people until now lead Indonesia, can do two things"
ngurus jakarta butuh teknokrat bukan akademisi,"Managing Jakarta requires technocrats, not academics"
pandji banyak gaya lawak,Pandji has many styles of comedy
kang emil sekarang sangat bebas bicara wajar karena beliau jadi juru kampanye salah satu paslon betul menang kontestasi pilpres,Kang Emil is now very free to speak naturally because he is a campaigner for one of the candidate pairs who actually won the presidential election contest
,
biarpun komen telat simpul lihat quotoh iya kita anggap wajar politik dinasti orang sama amp cara juga demokratisquotbr demokrasi kan maksud tunjuk siapa orang capable lihat status sosial praktek kita siapa quotelektabilitasnyaquot tinggi yang usung lihat mampu ibarat jalan sesat demokrasi kita,"even though the comment is late, see the knot, ""oh yes, we consider it normal for people's dynasty politics to be the same, the method is also democratic,"" democracy means showing who is capable, see our social status, practice, who is ""highly electable,"" those who carry it, see who is capable, like the wrong path of our democracy."
rata tonton sini orang seperti hidup derita anak nya ancam istri orang tua nya lapar dllbrpadahal sedang nikmat damai hidup perang rusuh karna beda dukung politik lama thn manusia kolam dosa ghibah benci perintah jokowi,"On average, watch here, people live in suffering, their children threaten their wives, their parents are hungry, etc., even though they are enjoying a peaceful life, there is war and chaos because they support different politics, for a long time, people are a pool of sin, gossiping, hating Jokowi's orders"
kalau istri jadi stand up apa gak nama dinasti brlo pakasain istri lo bisa jadi stand upbrmemalukan,"If your wife becomes a stand up, isn't it called a dynasty? You force your wife to become a stand up? It's embarrassing"
nunggu ahok,waiting for ahok
besar harap kang emil seperti dulu di podcast saya lihat kang emil dulu tidak tempat partai,I really hope Kang Emil is like before on my podcast. I saw Kang Emil not in the party place before.
jawab pertama rk langsung gambar dia jadi politikus oportunis,RK's first answer immediately showed him as an opportunistic politician
idola sya ridwan kamil,my idol is ridwan kamil
bagus sih bang panji saran aja nih ditampilin display chessboardnya wkwkw,"That's great bro, Panji, I just suggest showing the chessboard display, hahaha"
aku athenayunani siapa tau nyobain kopi nya,I'm athenayunani who knows try the coffee
quotaku eunquot real sundanese guy,quotaku eunquot real sundanese guy
href mw tanya nih klo kompetensi nya bagus yakin buat warga bandung lebih maju lalu karena kang emil ngerasa gak nyaman kamar bahas anggar bu cinta di izin kut kontestasi kemudian anda warga bandung pimpin tidak kompeten malah buat kota alami mundur warga susah tidur susah hidup sesal gak kang,"href I want to ask this, if the competence is good, are you sure it will make the people of Bandung more advanced, then because Kang Emil feels uncomfortable in the room discussing fencing, Mrs. Cinta is allowed to participate in the contest, then you, the people of Bandung, are incompetent in leading the city, and it will make the city regress, the people have trouble sleeping and have trouble living, do you regret it, Kang?"
pak udah jabar aja kelarin ke tunda,"Sir, I've just explained it, but I'm going to postpone it"
cerdas,intelligent
bang undang rocky gerung bangg terus part per part nya jam hehe,"Bro, invite Rocky Gerung, you're so proud, it's going to be hour by part, hehe"
wadaw tangkap ridwan kamil halal bansos pilpresbrmakanya hukum tuh jelas biar gak dimaininwkwkbrbrpenegaknya malah ikut main mahwkwkbrred card,"wow, arresting Ridwan Kamil is halal for presidential election social assistance, that's why the law is clear so it can't be played around with, wkwkbr ..."
gw gatau orang nilai mana rk cuma gw rasain generasi muda pak rk jadi gubernur banyak bgt sempat baru anak muda salah satu jabar future leader bener semua daerah ikut itu bikin velue ikut bener naik,"I don't know which person's rating, I just think that the younger generation, Mr. Rk, has become governor, there are so many young people, one of West Java's future leaders, it's true that all regions are joining in, making the market really go up."
saran meja nya ganti meja catur bglebih keren,"The suggestion is to change the table to a chess table, it's cooler"
harap besar dulu beliau jadi wakil pak prabowo,I really hope he will become Mr Prabowo's deputy
akueun yah,me yeah
dewasa banget pak rk pikir politik salam bengkulu,Mr Rk is very mature in thinking about politics in Bengkulu
tri didik infrastruktur,tri education infrastructure
demokrasi tuk rakyat kalau rakyat bego kere akan dimanfaatin politikus beli suara sosmed kuasa saat rakyat yang bego kere mudah beli logika pilih politikus lalu oceh sosmed,"democracy is for the people, if the people are stupid and poor, politicians will take advantage of them to buy votes on social media, power when the people who are stupid and poor can easily buy logic, choose politicians and then rant on social media"
busettt kudu multitasking banget mah maen catur mikirin obrol berat,"Busettt, you really have to multitask, playing chess, thinking about heavy conversations"
jaman sekarang semua lini penuh korupsi mau masuk kerja pake orang urus sertifikat tanah meja hanyak pungli bayar administrasi banyak banget urus sim korupsi yng tau murni cuma urus ktp sama kk salut dukcapil korupsi tanggung pajak terlalu banyak semua lini kena pajak hasil masyarakat makan coba pikir gimana masyarakat tidak miskinbrbrsolusi biar korupsi hilang atur regulasi dari pusat daerah hukum berat korupsi beri ruang masyarakat untuk lapor korupsi tiap dinas,"Nowadays, all lines are full of corruption. Want to work using people to take care of land certificates? There are only extortion fees to pay for administration. There are so many corruption cases for driving licenses. The only ones who know are purely those who take care of ID cards and family cards. Salute to Dukcapil. There is too much corruption in taxation. All lines are taxed. The results of society eat. Think about how society will not be poor. Give a solution so that corruption disappears. Set regulations from the center to the regions. Punish corruption severely. Give society space to report corruption in each department."
emil masuk dinasti politik,Emil enters a political dynasty
kapan rakyat indonesia pilih demokrasi,When will the Indonesian people choose democracy?
mah kaya infrako kang emil satuin jakarta jawa barat brnyatuin reg reg hahaha,"It's like Infrako, Kang Emil unites Jakarta, West Java, unites reg reg hahaha"
suka podcast,love podcasts
href gausah heran golkar golkar kan lambang nya pohon iya pohon punya akar so nyambung semua wkwkwk,"href don't be surprised Golkar Golkar's symbol is a tree, yes, trees have roots so everything is connected hahaha"
jabar jalan mundur wkwkwk,West Java is going backwards hahaha
panji pingin pengaruh,Panji wants influence
ga ah mapan banyak rakus pak,"It's not that well-established, there's a lot of greed, sir"
baru sekarang politik dinasti gencar bahas padahal praktik ada sejak lama,"Only now are dynasty politics being discussed intensively, even though the practice has existed for a long time."
saya tangkap kang emil jelas demokrasi otw saat ada posisi kebijakankebijakan populis kalau tanya dasar quotkesukaanquot rakyat perintah pengaruh kepada kualitas rakyat pilih misal kalau rakyat didik tinggi milik pola pikir kritis pengaruh hadap bijak quotpopulisquot ambil bijak makin quotberkualitasquot rakyat cerdas kritis tidak pandang bijak tidak kualitas bijak quotpopulisquot juga akan pengaruh perintah atas bawah saling kait ibarat dunia pasar mana beli jual si jual saja akan jual barang laku pasar,"I caught you, Emil, it's clear that democracy is true when there are populist policy positions. If you ask about the basis of ""people's preferences,"" the command influences the quality of the people. For example, if the people with high levels of education have a critical mindset, the influence is wise, ""populist,"" take wisely, the more ""quality"" people are intelligent, critical, don't think wisely, don't have wise qualities, ""populist."" Also, the influence of top-down orders will be interrelated, like a market world where buying and selling will only sell goods that sell well in the market"
demokrasi otw anjer masalah otw nya berapa lama problem makin lama makin kompleks loh krisis iklim timpang si kaya si miskin eksploitasi alam perang us china rusia ukraine krisis middle east indonesia bawa kemanaaaa curhatan millenial amp gen,"democracy on the way, how long is the on the way problem? The problem is getting more and more complex, the climate crisis is unequal between the rich and the poor, exploitation of nature, war, the US, China, Russia, Ukraine, the Middle East crisis, where is Indonesia taking us? Millennial and Gen's confessions"
makin liat panjji mah pro nya anies baswedan wkwkwk,The more I see Anies Baswedan's pro banner hahaha
jujur aja segi idealisme liat banget kang emil lumayan kuat brsayangnya idealisme tabrak statementnya sendiri brcontohnya akhir tekan pilih pimpin harus jelas kompetensi masalah menteri ditanyain jawab mau ngambil kalo kasih sesuai kompetensi nyinggung ahy eh kang emil sendiri suara gibran wakil presiden kompetensi jelas level wapres tabrak kan idealisme sendiri padahal mungkin iya segi idealisme pragmatis presiden simbol negara jadi memang perlu populer bisa gerak rakyat posisi wapres harus orang sangat kompeten dia kerja balik layar dulu hatta habibiebrbrsaya syukur kang emil masih jadi salah satu baik bangsa di jajar elit politik beliau masih punya mimpi jelas gak kayak ahy jadi posisi menteri proses ajar alias magang,"To be honest, in terms of idealism, Kang Emil is quite strong, unfortunately his idealism clashes with his own statement, for example, at the end of the press, choose to lead, there must be clear competence, the minister's problem is being asked and answered, he wants to take it, if he gives it according to his competence, he offends Ahy, eh Kang Emil himself, Gibran's voice, vice president, clear competence, vice president level, clashes with his own idealism, even though maybe in terms of pragmatic idealism, the president is a symbol of the state, so he really needs to be popular, able to move the people, the position of vice president must be a very competent person, he works behind the scenes first, Hatta Habibie, I'm grateful that Kang Emil is still one of the nation's good people in the ranks of the political elite, he still has clear dreams, not like Ahy, so the position of minister is a teaching process, aka internship"
the best emang kang emil,the best indeed kang emil
orang pintar sadar saksi luar kotak main dalam kotak aja ada proses harus lalu kaya masuk partai promosi cari massa kaya nah banyak orang pintar kaya mau masuk kotak itumau gimana yah sistem gin aja terus mau diteriakin kaya gimana tidak pada sadar,"Smart people are aware that witnesses outside the box are playing inside the box, there is a process that must be done, like entering a party, promoting, seeking the masses, well, many smart people want to enter the box, what can they do, just follow the system and then be shouted at, how come they don't realize it?"
podcast asumsi by pandjibrsemua apa dia kata data falidbrpercuma ngocehin demokrasi sudah cacat lahir,podcast assumption by pandjibrwhatever he said invalid databrit's useless to talk about democracy being born with a disability
href href diucapin bang panji bener nyata di desa gue,The href href spoken by Bang Panji is really real in my village
tks bung panji pragiwitjaksonopodcast cerdas bangsa edukasi politik,tks bung panji pragiwitjaksonopodcast smart nation political education
orang miskin cerdas geser sodor sembako uang mungkin di jabar yang jadi didaerahdaerah begitu kondisi ini lapang kerja sulit jadi pasu partai bayar rb per hari lebih baik tidak kerja,"poor people are smart, they shift the basic necessities, maybe in West Java, what happens in the regions is that these conditions make it difficult to get a job, so the party pays 10 ..."
parung panjang janji jalan tambang pt sarana jabar apa kabar,parung long promise mining road pt sarana jabar how are you
asumsi negatif mas pandji anulir sangat logic kang emil,"Mr. Pandji's negative assumption is very logical, Kang Emil"
rem sihbrmelihat rakyat lihat pasar,rem sihbrsee people see market
quotdemokrasi masih otwquot nama otw bukan bantu yaaa bisa lebih cepet tuju program macam desak anies tuh bantu bangeet proses akselesarasi otw nya,"quotdemocracy is still otwquot the name otw doesn't help, can it be quicker to go to a program like Anies urges, it really helps the process of accelerating the otw"
quotbanyak lulus kuliah logika berantakanquot realitas umum banyak temu,quotmany college graduates logic is a messquot common reality many meetings
,
panji nanya percaya sama komeng makanya praktek dong panji sok pinrer,"Panji asked if he believed Komeng, so he practiced, Panji pretended to be a smart guy"
came here just to hate on rk,came here just to hate on rk
suka bgt waktu rk bilang quotdalam islam inna amalu bin niatquot tp islam rasulullah saw pernah beri kuasa yang minta itu ada alas,"I really liked it when RK said ""in Islam, inna amalu bin intention"" but in Islam the Messenger of Allah never gave the authority to ask for it with a basis."
rakyat jabar jgn milih orang munafikpilkada jabar pilih tidak hubung paslon,"West Java people don't vote for hypocritical people in the West Java regional election, choose not to connect with candidate pairs"
podcast bagus beri banyak pandang demokrasi baik seperti apa rakyat inibenar apa kata emil bilang quot teu hayang pusingngurusan urus politikjualan seblak ge can loba nu meuliquot tambah politik belum quotdewasaquot lalu dewasa apa politik kitayah balik ke quotniatquot apa sebenernya mereka cari mkasdnya si politis apa alas minum teh sosro aja lahkira seh ayeuna mah nu kudu dipikerkeun maha carana budak sakola teu pusing ku biaya sakoladahar teu hese ku bahan baku nu mahal jeung tambah kolotna neangan nafkah tina jual seblak laku lobaatau peluang bisnistidak belenggu atur buat usaha quotsulitquot,"good podcast gives lots of views on good democracy like what the people are like, it's true, what Emil said, quot teu hayang dizzying about dealing with politics, selling seblak ge can loba nu meuliquot adding politics is not yet quotadultquot then what are our politics mature? Sosro aja lahkira seh ayeuna mah nu kudu dipikerkeun maha carana slave sakola teu dizzy cost sakoladahar teu hese ku raw material nu expensive jeung add kolotna neangan tina livelihood sell seblak lobaor business opportunitynot shackled set up for business quotdifficultquot"
rk munafik,rk hypocrite
bang saran ting catur dari awal seperti lebih mantap,"Bro, my suggestion is to play chess from the start, it seems more solid"
mudah kang emil nonton mensrea bandung or bogor heheheh,"It's easy, bro Emil, to watch Mensrea Bandung or Bogor, heheheh"
bupati kayu bang,regent of wood bang
thanks,thanks
bang panji cona jangan ngajarin dulu deh bicara nya maksud langsung pembjcaraan aja gtubr bbrhehe,"Bro Panji Cona, don't teach first, just talk, I mean just talk, gtubr bbrhehe"
kang emil pinternya indonesia banget,Kang Emil is really smart in Indonesian
href beneran bakal jadi ges tanya wkwk,href will really be a question wkwk
tanya bang panji terlalu polos semua bang fajri gak sadar banyak ngelesnya brmanusiawi lah kalau semua manusia ingin besar usaha kalau politik iya paling gampang rapat aja,"Panji's question is too innocent, all of Fajri's brothers don't realize that there's a lot of messing around, it's humane, if everyone wants to make a big business, if it's politics, it's easiest to just have a meeting."
keren pak muh,cool sir muh
opemingnya vibenya ky mata najwa wktu di metro dah,The vibe of the show is like Mata Najwa's when you're on the metro
potensi salah logika pandji sama parpol sepatu kotor harus jawab tanya quotsepatu kotorquot nya konfirmasi betul ndak sepatu kotor tetep simpan kamar klo bisa dbersihkan iya buang tinggal kamr bau lantas hars salah harus beli sepatu baru,"potential error in the logic of Pandji and political parties. Dirty shoes must be answered by asking ""dirty shoes"", confirm that it's true, no dirty shoes, keep the room if you can clean it, throw it away, leave the room smelly, then it must be a mistake, you have to buy new shoes"
demokrasi duduk jumlah sedikitsdm bagusitu jadi sangat baikklo duduk hampir jtsdm campur aduktrus daulat tanggan merekarakyat iya isi ribut muludi provokasi dikit rusuhasing tebar duit t pelosokbisa kudeta negaraaku salah satu orang tidak depakat sistem demokrasilemaahhhmudah setirini cipta nato kan say nowhidup otoriteruuraaamajapahit,democracy sitting small amount of human resources is good it becomes very good if sitting almost jtsdm mixed then sovereignty of their hands people yes fill the chaos start provoking a little riot spreading money in remote areas can coup the country I am one of the people who do not agree with the democratic system weak easy like this create nato right say now authoritarian life majapahit
pikir fahri jos suka,Fahri Jos thought he liked it
kasih kopi minum kali bibir tenggorok kering lho ngomong lama,"Give me a drink of coffee when my throat is dry, you know, I'm talking for a long time"
damn im respect your knowledge of politics,damn im respect your knowledge of politics
akhhh dia seru ni penyeimbangbrbrselama paksa algoritma media sosial terus lihat apa kita dukung kita sukabrbrsekarang saat kenal pihak bersebrangan,"ahhh he's a fun balancebrbras long as social media algorithms are forced to continue to see if we support us, we likebrbrnow when we get to know the opposing side"
pak fahri bilang quotdemokrasi ide gagas kalo bukan pikir demokrasi di ganti kuasa uangquotbrbrmenurut kok di dukung beda konsep demokrasi yang di sebutbrmantap mas pandji konten cerdas tambah wawas berpolitikbrsehat terus kita semua,"Mr. Fahri said, ""Democracy is an idea, if not a thought, democracy is replaced by the power of money."" According to him, why is it supported by a different concept of democracy than what is mentioned? Awesome, Mas Pandji, smart content, increase political insight. We are all healthy."
lebih neng liat tampil layar mindahin bidak catur bikin full multi screen satu kecil kaya kemarin wkwkw,"I'm more excited to see the screen appear, moving the chess pieces to make a full multi-screen, one small one like yesterday hahaha"
personal fahri hamzah sangat cerdas pandai bagi pandang ada politik ini,"Personally, Fahri Hamzah is very intelligent and clever in his views on politics."
kalau mmng mau ikut jadi anggota partai emg role model pak fahri hamzah kagum sama beliau,"If you really want to become a member of the party, then Mr Fahri Hamzah's role model is in awe of him"
salut argumen narasi bang fahri selalu senang dengar bang fahri dialektika bang fahri ingat perintah jalan perintah anggar warga modal operasional rahyat rakyat ingin orang jalan seluruh perangkat negara adalah orang kualitas punya kapabilitas bukan tempat untuk orang juang,salute argument narrative bang fahri always happy to hear bang fahri dialectic bang fahri remember the order to walk the order budget citizens operational capital people want people to walk the entire state apparatus are people of quality have capability not a place for people to fight
,
partai inget rakyat cuma waktu coblos satt lah,The party remembers the people only when they are voting
orang kayak gin kok undang bacot doang gede,Why do people like Gin invite big mouths?
ambil catur kuno,take ancient chess
judul bagusseolah,nice title as if
arah ngomong fahri ni spoil balek zaman orba yah,"Fahri's direction is a spoiler for the New Order era, right?"
bagus sih bang platform lu tidak udah ajar politik,"It's good bro, your platform doesn't teach politics"
sebel gua sama rambut bung fahri yang nongol helai rasa ken gua cabut wkwkwk,I'm so annoyed with Bung Fahri's hair that sticks out and I feel like I want to pull it out hahaha
lu ngomong apa sih ri,what are you talking about ri
jujur konten aku suka banget bang banyak wawas politik mudah paham bagi orang awam politik,"Honestly, I really like the content, bro, lots of political insiders are easy to understand for political laypeople"
pakpanji jujur catur harus mikirnarasumbernya nga fokus ngomong jadinnya nihomongannya berat malah maen catur adehhhanehhh,"Pakpanji, honest chess, you have to think about the source, don't focus on talking, so it's hard to talk, even if you play chess, adehhhanehhh"
pak muh,Mr. Muh
wih konsep seru banget gw suka gw suka,"wow, really cool concept, I like it, I like it"
dulu jahat ngehujat jokowi prabowo gabung jokowi si fahri jadi slow motiooooon brbrdulu jelekin jokowi sekarang gabung prabowojokowi gak mungkin satu perahu gelora pks gelora pinggir sanding pks sayang iya harimau dulu ganas jadi kucing rumah jawab jawab diplomatis akan benar salah,"used to be bad at insulting Jokowi, Prabowo joined Jokowi Si Fahri, so slow motiooooon, used to be bad at Jokowi, now join Prabowo Jokowi, it's impossible, one boat, the surge of the PKS, the surge of the edge of the Sanding PKS, it's a shame, yes, the tiger used to be vicious, so it was a house cat. Answer answer diplomatically, it will be true or false"
usul tambah cessclock meja om biar gak lupa mulu siapa jatah gerak,I suggest adding a desk clock so I don't always forget who's turn it is
kuliah href menit,lecture href minutes
masa milu gw tuju semua bung fakhri lebih lidah kaku kritik pemerintahbr barang w harap depan bung fakhri kritis kepada siapa lenceng adil hukum moral etika,"In my sad time, I'm going to all of you, Bung Fakhri, who is more tongue-tied in criticizing the government, so I hope that Bung Fakhri will be critical of who is deviating from the fair, moral, ethical laws."
menit href pns gak donk jadi bupati kalo pake pola nya bang fahri mesti karier partai pns gak jadi anggota partai solusi nya gimana,"minute href civil servants don't you want to be regent? If you use the pattern, bro Fahri, you have to be a party career, civil servants don't become party members, what's the solution?"
kata si panji prabowo debat emosi woy mantan tentara bossbrcoba opung luhut prajurit tni di colek iya sama reaksinyabrbiasa aja woyybrklo lu di colek terus emosi baru anehbrsi panji manusia ular ada aja,"said Prabowo's ensign, debating emotions, wow, ex-military boss, try opung Luhut, TNI soldier, get poked, yes, the reaction is the same, just get used to it, wow, if you keep being poked, new emotions are strange, bro, Panji Man, snakes are just there."
fahri sering kritik per dukung aneh kalau orng kaya di sebut,Fahri often criticizes and supports the strange thing when rich people are mentioned
harap nara sumber ikut quotalvin limquot,please include the source quotalvin limquot
quotkita atur ritme peperangan kalau perang bidak kecil kecil peperangan jadi lamaquot fahri hamzah,"""We set the rhythm of war, if the war is small, the war will be long,"" Fahri Hamzah said."
kasi minum dong tamu bro enak kosong bgtu,"Give your guests a drink, bro, it's so empty"
ngabalin,to answer
bang coba undang bambang pacul,"bro, try inviting bambang hoe"
umur hidup males banget denger nama fahri hamzah nonton konten pandang ubah derajat terima kasih bang pandji,life span really lazy to hear the name fahri hamzah watching content views change status thank you bang pandji
begitu sayang awak rasa iba salah saudara uyghur sampai sekarang entah bagaimana ada tambah bung fahri ngomong begitu pdnya nyata perintah otoriter walaupun syukur diingetin pandji hal china hasil cari suaka moga saudara uyghur jaga beri tabah kuat sang khalik,"so dear, I feel sorry for the Uyghur brothers, until now, somehow there is more, Mr. Fahri said that to him, it is a real authoritarian order, although thank God Pandji reminded him about China's asylum seekers, hopefully the Uyghur brothers will be protected, give strength to the Creator"
jilat tetap jilat,lick keep licking
,
beda bgt bang fahri tv sama sini jadi respect,"Fahri TV is really different from here, so respect"
keren,Cool
buzzer nya banyak ni orang,There are a lot of buzzers here
keren bang pandji pragiwaksono tetap tega adil walaupun kadang orang berani jujur suka orangquot jahat,"Cool bro, Pandji Pragiwaksono still has the heart to be fair even though sometimes people who dare to be honest like bad people"
orang munafik muka seperti di undang gak faedah nya lah,Hypocrites who act like being invited are of no use
hukum rakyat bisa turun presiden,people's law can be passed down by the president
serasa sekolah denger om fahri,feels like school listening to om fahri
salah satu episode seru wkwk gokil bung fahri,one of the exciting episodes wkwk crazy bro fahri
cara pikir beliau tarik,his way of thinking is interesting
bang pandji undang deddy cahyadi maen catur biar kena paham gm lagi mikir diplototin wkkwkwkwkkwkw,Bang Pandji invites Deddy Cahyadi to play chess so he can understand GM and he's thinking about being plotted hahaha
tiap kali video kelar aku pikir endingnya got hod hhahhaha,every time the video finishes i think the ending is goth hhahhaha
kemarin sama anis tanya nya gg tajam,"Yesterday I asked Anis, but she wasn't sharp"
jelek parpol indonesia kalo kader pikir sepak terjang popularitas jauh lebih besar partai dia musuh partai parah jadi semua partai,"Indonesian political parties are bad if cadres think that their popularity is much bigger than their party's, they are the worst enemy of the party, so are all parties."
undang ahokkkkkkk,invite ahokkkkkkk
jaman jokowi prabowo pilpres gw benci banget fahri hamzah sama fadli zon telah nonton banyak podcast beliau utama fadli zon di yt helmy yahya gw sih rispek banget sama orangorang kayak gin,"During the Jokowi Prabowo presidential election, I really hated Fahri Hamzah and Fadli Zon. I have watched a lot of his podcasts, especially Fadli Zon on YT Helmy. Yes, I really respect people like Gin."
emang acara tolol catur bikin fokus ngobrol ngobrolnya bikin fokus catur,It's true that stupid chess shows make you focus on chatting. Chatting makes you focus on chess
href suka sama cara politik padari dulu sampe skrngtapi senang sudut saya senang jujur diri andabahwa anda butuh cara dapat kursicheers pa,href like the way of politics padari from the past until now but I like my angle I like to be honest with you that you need a way to get a chair cheers pa
baca semua buat dukung pak anies bilang sdm rendah adalah buah cerita system politik bukan prosedur,"read all to support Mr Anies, who said that low human resources are the result of a political system story, not procedures"
udah tabiat politisiselalu jawab posisi mana berdiribrjangan pernah percaya apa ucap politis,"It's the nature of politicians to always answer where they stand, never believe what politicians say."
cuman mau bilang rakyat butuh dpr tiap tahun rakyat di kasi pilih kasi pilih negara pilih anggota dpr benar ada guna rakyat indonesia,"I just want to say that the people need the DPR. Every year the people are given an election, they are given an election for the country, they elect DPR members. It is really useful for the Indonesian people."
iya yak agak partai ada indonesia harus masif kampanye ideologi nya masingmasing biar masyarakat lanjur nilai buruk cerah kalau hasil buat sadar golong yaa golong masyarakat muda gen kaya melek punya sadar kalau parpol ini sistem benar giring opini orang sudah cap buruk parpol karenaaaaa orang cap buruk ini buanyaaakk sekali suara dengar parpolparpol,"Yes, yes, quite a few parties in Indonesia have to massively campaign their respective ideologies so that the people continue to have bad grades and the results will make them aware, among the young people, the rich genes are literate, they are aware that this political party is a correct system, leading to people's opinions being labeled as bad because political parties are being labeled as bad, because these people have a bad reputation. once you hear a political party's voice"
fahri kualitas omong gibran,fahri gibran's quality of speech
